players,type,year,sold_price
Kshitiz Sharma,All-Rounder,2018,2000000
Chaitanya Bishnoi,All-Rounder,2018,2000000
Glenn Maxwell,All-Rounder,2018,90000000
Kagiso Rabada,Bowler,2018,42000000
Amit Mishra,Bowler,2018,40000000
Shahbaz Nadeem,Bowler,2018,32000000
Vijay Shankar,All-Rounder,2018,32000000
Rahul Tewatia,All-Rounder,2018,30000000
Mohammad Shami,Bowler,2018,30000000
Gautam Gambhir,Batsman,2018,28000000
Trent Boult,Bowler,2018,22000000
Colin Munro,All-Rounder,2018,19000000
Daniel Christian,All-Rounder,2018,15000000
Jason Roy,Batsman,2018,15000000
Naman Ojha,Wicket-Keeper,2018,14000000
Prithvi Shaw,Batsman,2018,12000000
Gurkeerat Singh Mann,All-Rounder,2018,7500000
Avesh Khan,Bowler,2018,7000000
Abhishek Sharma,All-Rounder,2018,5500000
Jayant Yadav,All-Rounder,2018,5000000
Harshal Patel,All-Rounder,2018,2000000
Manjot Kalra,Batsman,2018,2000000
Sandeep Lamichhane,Bowler,2018,2000000
Sayan Ghosh,Bowler,2018,2000000
KL Rahul,Batsman,2018,110000000
Ravichandran Ashwin,All-Rounder,2018,76000000
Andrew Tye,Bowler,2018,72000000
Aaron Finch,Batsman,2018,62000000
Marcus Stoinis,All-Rounder,2018,62000000
Karun Nair,Batsman,2018,56000000
Mujeeb Zadran,Bowler,2018,40000000
Ankit Singh Rajpoot,Bowler,2018,30000000
David Miller,Batsman,2018,30000000
Mohit Sharma,Bowler,2018,24000000
Barinder Singh Sran,Bowler,2018,22000000
Yuvraj Singh,All-Rounder,2018,20000000
Christopher Gayle,Batsman,2018,20000000
Ben Dwarshuis,Bowler,2018,14000000
Akshdeep Nath,All-Rounder,2018,10000000
Manoj Tiwary,Batsman,2018,10000000
Mayank Agarwal,Batsman,2018,10000000
Manzoor Dar,All-Rounder,2018,2000000
Pardeep Sahu,Bowler,2018,2000000
Mayank Dagar,All-Rounder,2018,2000000
Chris Lynn,Batsman,2018,96000000
Mitchell Starc,Bowler,2018,94000000
Dinesh Karthik,Wicket-Keeper,2018,74000000
Robin Uthappa,Wicket-Keeper,2018,64000000
Kuldeep Singh Yadav,Bowler,2018,58000000
Piyush Chawla,Bowler,2018,42000000
Nitish Rana,All-Rounder,2018,34000000
Kamlesh Nagarkoti,All-Rounder,2018,32000000
Shivam Mavi,All-Rounder,2018,30000000
Mitchell Johnson,Bowler,2018,20000000
Shubman Gill,Batsman,2018,18000000
Ranganath Vinay Kumar,Bowler,2018,10000000
Rinku Singh,Batsman,2018,8000000
Cameron Delport,All-Rounder,2018,3000000
Javon Searless,All-Rounder,2018,3000000
Apoorv Vijay Wankhade,Batsman,2018,2000000
Ishank Jaggi,Batsman,2018,2000000
Krunal Pandya,All-Rounder,2018,88000000
Ishan Kishan,Wicket-Keeper,2018,62000000
Kieron Pollard,All-Rounder,2018,54000000
Pat Cummins,Bowler,2018,54000000
Evin Lewis,Batsman,2018,38000000
Suryakumar Yadav,Batsman,2018,32000000
Ben Cutting,All-Rounder,2018,22000000
Mustafizur Rahman,Bowler,2018,22000000
Rahul Chahar,Bowler,2018,19000000
Pradeep Sangwan,Bowler,2018,15000000
Jason Behrendorff,Bowler,2018,15000000
Jean-Paul Duminy,All-Rounder,2018,10000000
Saurabh Tiwary,Batsman,2018,8000000
Tajinder Dhillon,All-Rounder,2018,5500000
Akila Dhananjaya,Bowler,2018,5000000
Nidheesh M D Dinesan,Bowler,2018,2000000
Aditya Tare,Wicket-Keeper,2018,2000000
Siddhesh Dinesh Lad,Batsman,2018,2000000
Mayank Markande,Bowler,2018,2000000
Sharad Lumba,Batsman,2018,2000000
Anukul Roy,All-Rounder,2018,2000000
Mohsin Khan,Bowler,2018,2000000
Benjamin Stokes,All-Rounder,2018,125000000
Jaydev Unadkat,Bowler,2018,115000000
Sanju Samson,Wicket-Keeper,2018,80000000
Jofra Archer,All-Rounder,2018,72000000
Krishnappa Gowtham,Bowler,2018,62000000
Jos Buttler,Wicket-Keeper,2018,44000000
Ajinkya Rahane,Batsman,2018,40000000
Darcy Short,All-Rounder,2018,40000000
Rahul Tripathi,Batsman,2018,34000000
Dhawal Kulkarni,Bowler,2018,7500000
Zahir Khan Pakteen,Bowler,2018,6000000
Ben Laughlin,Bowler,2018,5000000
Stuart Binny,All-Rounder,2018,5000000
Dushmantha Chameera,Bowler,2018,5000000
Anureet Singh,Bowler,2018,3000000
Aryaman Vikram Birla,All-Rounder,2018,3000000
Midhun S,All-Rounder,2018,2000000
Shreyas Gopal,All-Rounder,2018,2000000
Prashant Chopra,Wicket-Keeper,2018,2000000
Jatin Saxena,All-Rounder,2018,2000000
Ankit Sharma,All-Rounder,2018,2000000
Mahipal Lomror,All-Rounder,2018,2000000
Chris Woakes,All-Rounder,2018,74000000
Yuzvendra Singh Chahal,Bowler,2018,60000000
Umesh Yadav,Bowler,2018,42000000
Brendon McCullum,Batsman,2018,36000000
M.S. Washington Sundar,All-Rounder,2018,32000000
Navdeep Saini,Bowler,2018,30000000
Quinton De Kock,Wicket-Keeper,2018,28000000
Mohammed Siraj,Bowler,2018,26000000
Nathan Coulter-Nile,Bowler,2018,22000000
Colin De Grandhomme,All-Rounder,2018,22000000
M. Ashwin,Bowler,2018,22000000
Parthiv Patel,Wicket-Keeper,2018,17000000
Moeen Ali,All-Rounder,2018,17000000
Mandeep Singh,All-Rounder,2018,14000000
Manan Vohra,Batsman,2018,11000000
Pawan Negi,All-Rounder,2018,10000000
Tim Southee,Bowler,2018,10000000
Kulwant Khejroliya,Bowler,2018,8500000
Aniket Choudhary,Bowler,2018,3000000
Pavan Deshpande,All-Rounder,2018,2000000
Anirudha Ashok Joshi,All-Rounder,2018,2000000
Manish Pandey,Batsman,2018,110000000
Rashid Khan Arman,Bowler,2018,90000000
Shikhar Dhawan,Batsman,2018,52000000
Wriddhiman Saha,Wicket-Keeper,2018,50000000
Siddarth Kaul,Bowler,2018,38000000
Deepak Hooda,All-Rounder,2018,36000000
Syed Khaleel Ahmed,Bowler,2018,30000000
Sandeep Sharma,Bowler,2018,30000000
Kane Williamson,Batsman,2018,30000000
Carlos Brathwaite,All-Rounder,2018,20000000
Shakib Al Hasan,All-Rounder,2018,20000000
Yusuf Pathan,All-Rounder,2018,19000000
Shreevats Goswami,Wicket-Keeper,2018,10000000
Mohammad Nabi,All-Rounder,2018,10000000
Chris Jordan,All-Rounder,2018,10000000
Basil Thampi,Bowler,2018,9500000
Billy Stanlake,Batsman,2018,5000000
T Natarajan,Bowler,2018,4000000
Sachin Baby,Batsman,2018,2000000
Bipul Sharma,All-Rounder,2018,2000000
Syed Mehdi Hasan,All-Rounder,2018,2000000
Ricky Bhui,Batsman,2018,2000000
Tanmay Agarwal,Batsman,2018,2000000
Kagiso Rabada,Bowler,2017,50000000
Patrick Cummins,Bowler,2017,45000000
Angelo Mathews,All-Rounder,2017,20000000
Corey Anderson,All-Rounder,2017,10000000
M. Ashwin,Bowler,2017,10000000
Aditya Tare,Wicket-Keeper,2017,2500000
Ankeet Bawane,Batsman,2017,1000000
Navdeep Saini,Bowler,2017,1000000
Shashank Singh,All-Rounder,2017,1000000
Jason Roy,Batsman,2017,10000000
Basil Thampi,Bowler,2017,8500000
Manpreet Gony,Bowler,2017,6000000
Nathu Singh,Bowler,2017,5000000
Munaf Patel,Bowler,2017,3000000
Akshdeep Nath,All-Rounder,2017,1000000
Shubam Agrawal,All-Rounder,2017,1000000
Tejas Singh Baroka,Bowler,2017,1000000
Chirag Suri,Batsman,2017,1000000
Pratham Singh,All-Rounder,2017,1000000
Shelley Shaurya,Bowler,2017,1000000
T Natarajan,Bowler,2017,30000000
Varun Aaron,Bowler,2017,28000000
Eoin Morgan,Batsman,2017,20000000
Matt Henry,Bowler,2017,5000000
Martin Guptill,Batsman,2017,5000000
Darren Sammy,All-Rounder,2017,3000000
Rahul Tewatia,All-Rounder,2017,2500000
Rinku Singh,Batsman,2017,1000000
Trent Boult,Bowler,2017,50000000
Chris Woakes,All-Rounder,2017,42000000
Nathan Coulter-Nile,Bowler,2017,35000000
Rishi Dhawan,All-Rounder,2017,5500000
Darren Bravo,Batsman,2017,5000000
Rovman Powell,All-Rounder,2017,3000000
Sayan Ghosh,Bowler,2017,1000000
R. Sanjay Yadav,All-Rounder,2017,1000000
Ishank Jaggi,Batsman,2017,1000000
Karn Sharma,All-Rounder,2017,32000000
Krishnappa Gowtham,All-Rounder,2017,20000000
Mitchell Johnson,Bowler,2017,20000000
Asela Gunarathna,Batsman,2017,3000000
Saurabh Tiwary,Batsman,2017,3000000
Nicolas Pooran,Wicket-Keeper,2017,3000000
Kulwant Khejroliya,Bowler,2017,1000000
Benjamin Stokes,All-Rounder,2017,145000000
Daniel Christian,All-Rounder,2017,10000000
Manoj Tiwary,Batsman,2017,5000000
Lockie Ferguson,Bowler,2017,5000000
Jaydev Unadkat,Bowler,2017,3000000
Rahul Chahar,Bowler,2017,1000000
Saurabh Kumar,Bowler,2017,1000000
Milind Tandon,All-Rounder,2017,1000000
Rahul Ajay Tripathi,All-Rounder,2017,1000000
Tymal Mills,Bowler,2017,120000000
Aniket Choudhary,Bowler,2017,20000000
Pawan Negi,All-Rounder,2017,10000000
Billy Stanlake,Bowler,2017,3000000
Praveen Dubey,All-Rounder,2017,1000000
Rashid Khan Arman,Bowler,2017,40000000
Mohammed Siraj,Bowler,2017,26000000
Eklavya Dwivedi,Wicket-Keeper,2017,7500000
Chris Jordan,All-Rounder,2017,5000000
Mohammad Nabi,All-Rounder,2017,3000000
Ben Laughlin,Bowler,2017,3000000
Pravin Tambe,Bowler,2017,1000000
Tanmay Agarwal,Batsman,2017,1000000
Pawan Negi,All-Rounder,2016,85000000
Christopher Morris,All-Rounder,2016,70000000
Sanju Samson,Wicket-Keeper,2016,42000000
Carlos Brathwaite,All-Rounder,2016,42000000
Karun Nair,Batsman,2016,40000000
Rishabh Pant,Wicket-Keeper,2016,19000000
Joel Paris,Bowler,2016,3000000
Sam Billings,Wicket-Keeper,2016,3000000
Chama Milind,Bowler,2016,1000000
Pratyush Singh,All-Rounder,2016,1000000
Mahipal Lomror,All-Rounder,2016,1000000
Syed Khaleel Ahmed,All-Rounder,2016,1000000
Akhil Arvind Herwadkar,All-Rounder,2016,1000000
Pawan Suyal,Bowler,2016,1000000
Praveen Kumar,Bowler,2016,35000000
Dale Steyn,Bowler,2016,23000000
Dinesh Karthik,Wicket-Keeper,2016,23000000
Dwayne Smith,All-Rounder,2016,23000000
Dhawal Kulkarni,Bowler,2016,20000000
Aaron Finch,Batsman,2016,10000000
Eklavya Dwivedi,Wicket-Keeper,2016,10000000
Andrew Tye,All-Rounder,2016,5000000
Ishan Kishan,Wicket-Keeper,2016,3500000
Jaydev Shah,All-Rounder,2016,2000000
Shadab Jakati,All-Rounder,2016,2000000
Pravin Tambe,Bowler,2016,2000000
Pradeep Sangwan,All-Rounder,2016,2000000
Amit Mishra,Bowler,2016,1000000
Shivil Kaushik,Bowler,2016,1000000
Akshdeep Nath,All-Rounder,2016,1000000
Sarabjit Ladda,Bowler,2016,1000000
Umang Sharma,Batsman,2016,1000000
Paras Dogra,Batsman,2016,1000000
Mohit Sharma,Bowler,2016,65000000
Kyle Abbott,Bowler,2016,21000000
K.C. Cariappa,Bowler,2016,8000000
Marcus Stoinis,All-Rounder,2016,5500000
Farhaan Behardien,All-Rounder,2016,3000000
Pardeep Sahu,All-Rounder,2016,1000000
Armaan Jaffer,Batsman,2016,1000000
Swapnil Singh,All-Rounder,2016,1000000
Jaydev Unadkat,Bowler,2016,16000000
Ankit Singh Rajpoot,Bowler,2016,15000000
John Hastings,Bowler,2016,13000000
Jason Holder,All-Rounder,2016,7000000
Colin Munro,All-Rounder,2016,3000000
Rajagopal Sathish,All-Rounder,2016,2000000
Manan Ajay Sharma,All-Rounder,2016,1000000
Jos Buttler,Wicket-Keeper,2016,38000000
Nathu Singh,Bowler,2016,32000000
Tim Southee,Bowler,2016,25000000
Krunal Pandya,All-Rounder,2016,20000000
Kishore Pramod Kamath,All-Rounder,2016,14000000
Deepak Punia,All-Rounder,2016,1000000
Jitesh Sharma,Wicket-Keeper,2016,1000000
Mitchell Marsh,All-Rounder,2016,48000000
M. Ashwin,Bowler,2016,45000000
Ishant Sharma,Bowler,2016,38000000
Kevin Pietersen,Batsman,2016,35000000
Irfan Pathan,All-Rounder,2016,10000000
Thisara Perera,All-Rounder,2016,10000000
Rajat Bhatia,All-Rounder,2016,6000000
Ashok Dinda,Bowler,2016,5000000
Scott Boland,Bowler,2016,5000000
Peter Handscomb,Wicket-Keeper,2016,3000000
Rudra Pratap Singh,Bowler,2016,3000000
Adam Zampa,Bowler,2016,3000000
Ishwar Chandra Pandey,Bowler,2016,2000000
Deepak Chahar,All-Rounder,2016,1000000
Jaskaran Singh,Bowler,2016,1000000
Baba Aparajith,All-Rounder,2016,1000000
Ankush Bains,Wicket-Keeper,2016,1000000
Ankit Sharma,All-Rounder,2016,1000000
Shane Watson,All-Rounder,2016,95000000
Stuart Binny,All-Rounder,2016,20000000
Kane Richardson,Bowler,2016,20000000
Samuel Badree,Bowler,2016,5000000
Travis Head,Batsman,2016,5000000
Praveen Dubey,All-Rounder,2016,3500000
Vikramjeet Malik,Bowler,2016,2000000
Akshay Karnewar,All-Rounder,2016,1000000
Iqbal Abdullah,All-Rounder,2016,1000000
Sachin Baby,Batsman,2016,1000000
Vikas Tokas,Bowler,2016,1000000
Yuvraj Singh,All-Rounder,2016,70000000
Ashish Nehra,Bowler,2016,55000000
Deepak Hooda,All-Rounder,2016,42000000
Mustafizur Rahman,Bowler,2016,14000000
Aditya Tare,Wicket-Keeper,2016,12000000
Barinder Singh Sran,Bowler,2016,12000000
Ben Cutting,All-Rounder,2016,5000000
Vijay Shankar,All-Rounder,2016,3500000
Abhimanyu Mithun,Bowler,2016,3000000
Tirumalasetti Suman,Batsman,2016,1000000
Michael Hussey,Batsman,2015,15000000
Irfan Pathan,All-Rounder,2015,15000000
Rahul Sharma,Bowler,2015,3000000
Kyle Abbott,Bowler,2015,3000000
Andrew Tye,Bowler,2015,2000000
Pratyush Singh,All-Rounder,2015,1000000
Ankush Bains,Wicket-Keeper,2015,1000000
Eklavya Dwivedi,Wicket-Keeper,2015,1000000
Yuvraj Singh,Batsman,2015,160000000
Angelo Mathews,All-Rounder,2015,75000000
Zaheer Khan,Bowler,2015,40000000
Amit Mishra,Bowler,2015,35000000
Shreyas Iyer,Batsman,2015,26000000
Gurinder Sandhu,Bowler,2015,17000000
Jaydev Unadkat,Bowler,2015,11000000
Domnic Joseph Muthuswamy,Bowler,2015,7500000
Albie Morkel,All-Rounder,2015,3000000
Travis Head,Batsman,2015,3000000
Marcus Stoinis,All-Rounder,2015,2500000
C.M. Gautam,Wicket-Keeper,2015,2000000
Kona Srikar Bharat,Wicket-Keeper,2015,1000000
K.K. Jiyaz,Bowler,2015,1000000
Murali Vijay,Batsman,2015,30000000
Nikhil Shankar Naik,Wicket-Keeper,2015,3000000
Yogesh Gowalkar,All-Rounder,2015,1000000
K.C. Cariappa,Bowler,2015,24000000
James Neesham,All-Rounder,2015,5000000
Brad Hogg,Bowler,2015,5000000
Aditya Garhwal,All-Rounder,2015,2500000
Sheldon Jackson,Batsman,2015,1500000
Sumit Narwal,All-Rounder,2015,1000000
Vaibhav Rawal,All-Rounder,2015,1000000
Aaron Finch,Batsman,2015,32000000
Pragyan Ojha,Bowler,2015,5000000
Abhimanyu Mithun,Bowler,2015,3000000
Mitchell McClenaghan,Bowler,2015,3000000
Aiden Blizzard,Batsman,2015,3000000
Hardik Pandya,All-Rounder,2015,1000000
Akshay Wakhare,Bowler,2015,1000000
Nitish Rana,All-Rounder,2015,1000000
Siddhesh Dinesh Lad,All-Rounder,2015,1000000
J. Suchitch,All-Rounder,2015,1000000
Christopher Morris,All-Rounder,2015,14000000
Juan Theron,Bowler,2015,3000000
Barinder Singh Saran,Bowler,2015,1000000
Dinesh Salunkhe,All-Rounder,2015,1000000
Sagar Trivedi,All-Rounder,2015,1000000
Pardeep Sahu,All-Rounder,2015,1000000
Dinesh Karthik,Wicket-Keeper,2015,105000000
Darren Sammy,All-Rounder,2015,28000000
David Wiese,All-Rounder,2015,28000000
Sean Abbott,Bowler,2015,10000000
Adam Milne,Bowler,2015,7000000
Sarfaraz Naushad Khan,Batsman,2015,5000000
Subramaniam Badrinath,Batsman,2015,3000000
Jalaj Saxena,All-Rounder,2015,1000000
Shishir Bhavane,Batsman,2015,1000000
Trent Boult,Bowler,2015,38000000
Praveen Kumar,Bowler,2015,22000000
Kevin Pietersen,Batsman,2015,20000000
Eoin Morgan,Batsman,2015,15000000
Ravi Bopara,All-Rounder,2015,10000000
Kane Williamson,All-Rounder,2015,6000000
Laxmi Ratan Shukla,All-Rounder,2015,3000000
Prasanth Padmanabhan,All-Rounder,2015,1000000
Hanuma Vihari,Batsman,2015,1000000
Siddarth Kaul,Bowler,2015,1000000
Faf Du Plessis,Batsman,2014,47500000
Dwayne Smith,Batsman,2014,45000000
Brendon McCullum,Wicket-Keeper,2014,32500000
Ashish Nehra,Bowler,2014,20000000
Mohit Sharma,Bowler,2014,20000000
Ishwar Chandra Pandey,Bowler,2014,15000000
Ben Hilfenhaus,Bowler,2014,10000000
John Hastings,All-Rounder,2014,5000000
Samuel Badree,Bowler,2014,3000000
Matt Henry,Bowler,2014,3000000
Mithun Manhas,All-Rounder,2014,3000000
Vijay Shankar,All-Rounder,2014,1000000
Ronit More,Bowler,2014,1000000
Baba Aparajith,Batsman,2014,1000000
Pawan Negi,Bowler,2014,1000000
Dinesh Karthik,Wicket-Keeper,2014,125000000
Kevin Pietersen,Batsman,2014,90000000
Murali Vijay,Batsman,2014,50000000
Mohammad Shami,Bowler,2014,42500000
Nathan Coulter-Nile,Bowler,2014,42500000
Quinton De Kock,Wicket-Keeper,2014,35000000
Manoj Tiwary,Batsman,2014,28000000
Jaydev Unadkat,Bowler,2014,28000000
Jean-Paul Duminy,Batsman,2014,22000000
Ross Taylor,Batsman,2014,20000000
Kedar Jadhav,Batsman,2014,20000000
Rahul Sharma,Bowler,2014,19000000
Mayank Agarwal,Batsman,2014,16000000
Laxmi Ratan Shukla,All-Rounder,2014,15000000
James Neesham,All-Rounder,2014,10000000
Wayne Parnell,Bowler,2014,10000000
Shahbaz Nadeem,Bowler,2014,8500000
Saurabh Tiwary,Batsman,2014,7000000
Siddarth Kaul,Bowler,2014,4500000
Rahul Shukla,Bowler,2014,4000000
Jayant Yadav,All-Rounder,2014,1000000
HS Sharath,Bowler,2014,1000000
Milind Kumar,Batsman,2014,1000000
Mitchell Johnson,All-Rounder,2014,65000000
Glenn Maxwell,All-Rounder,2014,60000000
George Bailey,Batsman,2014,32500000
Virender Sehwag,Batsman,2014,32000000
Rishi Dhawan,All-Rounder,2014,30000000
Wriddhiman Saha,Wicket-Keeper,2014,22000000
Shaun Marsh,Batsman,2014,22000000
Cheteshwar Pujara,Batsman,2014,19000000
Beuran Hendricks,Bowler,2014,18000000
Lakshmipathy Balaji,Bowler,2014,18000000
Thisara Perera,All-Rounder,2014,16000000
Gurkirat Singh Mann,Batsman,2014,13000000
Murali Kartik,Bowler,2014,10000000
Sandeep Sharma,Bowler,2014,8500000
Mandeep Hardev Singh,All-Rounder,2014,8000000
Akshar Rajesh Patel,All-Rounder,2014,7500000
Parvinder Awana,Bowler,2014,6500000
Shardul Narendra Thakur,Bowler,2014,2000000
Anureet Singh,Bowler,2014,2000000
Shivam Sharma,Bowler,2014,1000000
Karanveer Singh,All-Rounder,2014,1000000
Jacques Kallis,All-Rounder,2014,55000000
Robin Uthappa,Batsman,2014,50000000
Piyush Chawla,Bowler,2014,42500000
Yusuf Pathan,All-Rounder,2014,32500000
Shakib Al Hasan,All-Rounder,2014,28000000
Morne Morkel,Bowler,2014,28000000
Ranganath Vinay Kumar,Bowler,2014,28000000
Umesh Yadav,Bowler,2014,26000000
Manish Pandey,Batsman,2014,17000000
Chris Lynn,Batsman,2014,13000000
Patrick Cummins,Bowler,2014,10000000
Ryan Ten Doeschate,All-Rounder,2014,10000000
Suryakumar Yadav,Batsman,2014,7000000
Andre Russell,All-Rounder,2014,6000000
Manvinder Bisla,Wicket-Keeper,2014,6000000
Veer Pratap Singh,Bowler,2014,4000000
Kuldeep Singh Yadav,Bowler,2014,4000000
Debabrata Das,Wicket-Keeper,2014,2000000
Sayan Sekhar Mandal,All-Rounder,2014,1000000
Michael Hussey,Batsman,2014,50000000
Corey Anderson,All-Rounder,2014,45000000
Pragyan Ojha,Bowler,2014,32500000
Zaheer Khan,Bowler,2014,26000000
Aditya Tare,Wicket-Keeper,2014,16000000
Jasprit Bumrah,Bowler,2014,12000000
Jalaj Saxena,All-Rounder,2014,9000000
Josh Hazlewood,Bowler,2014,5000000
Marchant De Lange,Bowler,2014,3000000
Krismar Santokie,Bowler,2014,3000000
Ben Dunk,Wicket-Keeper,2014,2000000
C.M. Gautam,Wicket-Keeper,2014,2000000
Apoorv Vijay Wankhade,Batsman,2014,1000000
Pawan Suyal,Bowler,2014,1000000
Sushant Marathe,Wicket-Keeper,2014,1000000
Shreyas Gopal,Bowler,2014,1000000
Steven Smith,All-Rounder,2014,40000000
Brad Hodge,Batsman,2014,24000000
Rajat Bhatia,All-Rounder,2014,17000000
Tim Southee,Bowler,2014,12000000
Dhawal Kulkarni,Bowler,2014,11000000
Abhishek Nayar,All-Rounder,2014,10000000
Kane Richardson,Bowler,2014,10000000
Ben Cutting,Bowler,2014,8000000
Karun Nair,Batsman,2014,7500000
Unmukt Chand,Batsman,2014,6500000
Iqbal Abdullah,All-Rounder,2014,6500000
Deepak Hooda,Bowler,2014,4000000
Dishant Yagnik,Wicket-Keeper,2014,3000000
Kevon Cooper,All-Rounder,2014,3000000
Vikramjeet Malik,Bowler,2014,2000000
Ankit Nagendra Sharma,Bowler,2014,1000000
Rahul Tewatia,All-Rounder,2014,1000000
Ankush Bains,Wicket-Keeper,2014,1000000
Amit Mishra,Bowler,2014,1000000
Pravin Tambe,Bowler,2014,1000000
Yuvraj Singh,All-Rounder,2014,140000000
Mitchell Starc,Bowler,2014,50000000
Albie Morkel,All-Rounder,2014,24000000
Varun Aaron,Bowler,2014,20000000
Ashok Dinda,Bowler,2014,15000000
Parthiv Patel,Wicket-Keeper,2014,14000000
Muttiah Muralitharan,Bowler,2014,10000000
Ravi Rampaul,Bowler,2014,9000000
Nic Maddinson,Batsman,2014,5000000
Harshal Patel,Bowler,2014,4000000
Vijay Zol,Batsman,2014,3000000
Abu Nechim Ahmed,Bowler,2014,3000000
Sachin Rana,Bowler,2014,2000000
Shadab Jakati,Bowler,2014,2000000
Sandeep Warrier,Bowler,2014,1000000
Tanmay Mishra,Batsman,2014,1000000
Yogesh Takawale,Wicket-Keeper,2014,1000000
Yuzvendra Singh Chahal,Bowler,2014,1000000
David Warner,Batsman,2014,55000000
Amit Mishra,Bowler,2014,47500000
Bhuvneshwar Kumar,Bowler,2014,42500000
Aaron Finch,Batsman,2014,40000000
Karn Sharma,Bowler,2014,37500000
Darren Sammy,All-Rounder,2014,35000000
Ishant Sharma,Bowler,2014,26000000
Irfan Pathan,All-Rounder,2014,24000000
Moises Henriques,All-Rounder,2014,10000000
KL Rahul,Batsman,2014,10000000
Parveez Rasool,All-Rounder,2014,9500000
Jason Holder,Bowler,2014,7500000
Venugopal Rao,Batsman,2014,5500000
Naman Ojha,Wicket-Keeper,2014,5000000
Brendan Taylor,Wicket-Keeper,2014,3000000
Prasanth Parameswaran,Bowler,2014,3000000
Amit Paunikar,Wicket-Keeper,2014,2000000
Ashish Reddy,Bowler,2014,2000000
Srikkanth Anirudha,Batsman,2014,2000000
Ricky Bhui,Batsman,2014,1000000
Chama Milind,Bowler,2014,1000000
Manprit Juneja,Batsman,2014,1000000
Christopher Morris,All-Rounder,2013,46875000
Dirk Nannes,Bowler,2013,45000000
Ben Laughlin,Bowler,2013,1500000
Akila Dananjaya,All-Rounder,2013,1500000
Jason Holder,Bowler,2013,1500000
Jeevan Mendis,All-Rounder,2013,3750000
Manpreet Gony,Bowler,2013,37500000
Luke Pomersbach,Batsman,2013,22500000
Sachithra Senanayaka,All-Rounder,2013,46875000
Ryan McLaren,Bowler,2013,3750000
Glenn Maxwell,All-Rounder,2013,75000000
Nathan Coulter-Nile,Bowler,2013,33750000
Ricky Ponting,Batsman,2013,30000000
Philip Hughes,Batsman,2013,7500000
Jacob Oram,All-Rounder,2013,3750000
Ajantha Mendis,Bowler,2013,54375000
Kane Richardson,Bowler,2013,52500000
Abhishek Nayar,All-Rounder,2013,50625000
Michael Clarke,Batsman,2013,30000000
James Faulkner,All-Rounder,2013,30000000
Fidel Edwards,Bowler,2013,15750000
Kusal Janith Perera,Wicket-Keeper,2013,1500000
Jaydev Unadkat,Bowler,2013,39375000
Rudra Pratap Singh,Bowler,2013,30000000
Moises Henriques,All-Rounder,2013,22500000
Ravi Rampaul,Bowler,2013,21750000
Pankaj Singh,Bowler,2013,11250000
Daniel Christian,All-Rounder,2013,7500000
Christopher Barnwell,All-Rounder,2013,3750000
Thisara Perera,All-Rounder,2013,50625000
Darren Sammy,All-Rounder,2013,31875000
Sudeep Tyagi,Bowler,2013,7500000
Clinton McKay,Bowler,2013,7500000
Nathan McCullum,Bowler,2013,7500000
Quinton De Kock,Wicket-Keeper,2013,1500000
