unique_id,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Nationality
8CCWBR,vyshak vijay kumar,11.0,2.0,14.0,13.0,12.0,0.0,0.0,0.0,1.0,4.0,0.0,11.0,231.0,395.0,13.0,0.0,0.0,1.56,116.67,30.38,10.26,17.77,India
SHWL9H,wanindu hasaranga,26.0,4.0,72.0,18.0,73.0,0.0,0.0,7.0,1.0,3.0,0.0,26.0,552.0,748.0,35.0,1.0,1.0,3.27,98.63,21.37,8.13,15.77,Sri Lanka
CX3CLY,washington sundar,60.0,13.0,378.0,40.0,325.0,0.0,0.0,32.0,9.0,12.0,0.0,60.0,1054.0,1325.0,37.0,0.0,0.0,8.04,116.31,35.81,7.54,28.49,India
YWRS9R,wiaan mulder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa
WVUXJK,will jacks,8.0,1.0,230.0,100.0,131.0,1.0,1.0,16.0,18.0,3.0,0.0,8.0,54.0,100.0,2.0,0.0,0.0,32.86,175.57,50.0,11.11,27.0,England
6RP0W0,xavier bartlett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia
SOCG50,yash dayal,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,28.0,577.0,920.0,28.0,0.0,0.0,0.0,0.0,32.86,9.57,20.61,India
J7H5HS,yash thakur,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,404.0,691.0,24.0,1.0,1.0,0.0,0.0,28.79,10.26,16.83,India
AIUTBG,yashasvi jaiswal,52.0,2.0,1607.0,124.0,1067.0,2.0,9.0,198.0,64.0,18.0,0.0,52.0,1.0,6.0,0.0,0.0,0.0,32.14,150.61,0.0,36.0,0.0,India
LRFGZZ,yudhvir singh,5.0,0.0,22.0,14.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,72.0,122.0,4.0,0.0,0.0,4.4,137.5,30.5,10.17,18.0,India
TL6N4F,yuzvendra chahal,160.0,13.0,37.0,8.0,86.0,0.0,0.0,0.0,0.0,30.0,0.0,160.0,3521.0,4602.0,205.0,6.0,1.0,0.25,43.02,22.45,7.84,17.18,India
VFUS1A,zeeshan ansari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India
